Plot,AGB_tC_ha,BGB_tC_ha,Saplings_tC_ha,Litter_tC_ha,Standing_Dead_tC_ha,Lying_Dead_tC_ha,Soil_tC_ha
94.9,94.91307506,22.30457264,3.939084842,0,0,7.860618667,
187.4,187.3792378,44.03412089,28.88662217,1.943740672,1.181845238,12.10846247,
214.7,214.6561762,50.4442014,13.5679589,0,0.246481481,5.281345601,
210.1,210.1396415,49.38281575,12.69260671,0,1.924719388,0,
210.6,210.5815143,49.48665586,20.1331003,0,0,10.00500304,
166.9,166.8522235,39.21027252,1.750704374,3.07625,0,7.409605504,
225.5,225.4751254,52.98665447,4.814437029,0,1.741549745,10.29965391,
234.8,234.7834646,55.17411419,3.939084842,0,0,6.868846795,
143.1,143.092866,33.62682351,8.75352187,0,0,22.20252019,
256.9,256.9110414,60.37409472,0.875352187,2.252013636,12.54819443,6.568221729,
130.4,130.3973081,30.64336741,3.063732655,0,7.049425064,21.4026381,
252.2,252.1856299,59.26362303,3.939084842,0,0,9.680798869,
177.9,177.8844019,41.80283444,0,0,3.00466375,15.6877362,
213.8,213.805007,50.24417665,4.376760935,4.309625517,0.947066327,2.89412455,
78.7,78.67686937,18.4890643,9.191197964,0,0,37.02941036,
126.3,126.2943937,29.67918251,4.814437029,0,0,25.98813958,
201.5,201.5459616,47.36330098,4.376760935,0,0.359183673,5.252755207,
114.6,114.5625258,26.92219356,2.626056561,3.161071008,2.046130952,2.730854769,
127,126.9565777,29.83479577,2.626056561,0,0.275,16.14134445,
68.5,68.45191401,16.08619979,2.626056561,0,0.92562963,0.443345714,
97.9,97.87444011,23.00049343,8.75352187,0,0.675340136,5.428282421,
300.4,300.4337918,70.60194108,0.875352187,3.455161111,0,0,
188.5,188.4562074,44.28720873,1.313028281,0,0.346614583,4.354074061,
241.8,241.8005506,56.82312939,2.188380468,0,0,6.051771238,
195.6,195.5700532,45.95896249,0.875352187,0,6.200231481,11.25662926,
168,167.9929006,39.47833165,3.063732655,3.339246193,0.842626968,3.651806678,
132.3,132.3398691,31.09986923,2.626056561,0,0,7.335490944,
319.9,319.8884069,75.17377562,0.875352187,0,0,8.550805038,
153.6,153.5729239,36.08963711,5.252113122,0,0.512210884,10.3958733,
134.9,134.8854946,31.69809123,0,6.272978229,0.991245108,42.56112685,
196.2,196.16576,46.09895361,0,0,9.136352218,52.66303707,
134.3,134.2941845,31.55913337,0.437676094,0,8.994949243,25.31275946,
179.6,179.581889,42.20174391,3.939084842,0,6.951360791,48.69173958,
310.7,310.671627,73.00783234,4.376760935,3.820519231,1.22122449,12.99055837,
249.4,249.3925125,58.60724044,1.313028281,0,0,8.660577862,
198.5,198.4970938,46.64681705,3.063732655,0,0,4.231180214,
214.4,214.3948808,50.38279699,1.313028281,0,9.5596875,2.937363904,
268.3,268.3097693,63.05279578,3.939084842,2.69371875,4.2109375,0.44091224,
224.6,224.6460304,52.79181714,3.063732655,0,0.07816684,1.17946399,
247.1,247.120417,58.073298,0.875352187,0,1.283666592,2.880027054,
198.5,198.5388376,46.65662683,5.252113122,0,0.509259259,0.587703483,
122.1,122.1128283,28.69651465,1.750704374,2.474527926,0,0,
93.4,93.35226367,21.93778196,2.626056561,0,0,0,
176.3,176.3149081,41.43400341,3.939084842,0,0,1.988108437,
193.2,193.21111,45.40461086,2.626056561,0,0,0,
211.1,211.1385295,49.61755443,2.626056561,2.193523404,1.344553571,1.224756221,
219.1,219.1434745,51.4987165,2.626056561,0,0,4.161888806,
371.7,371.6525515,87.3383496,1.750704374,0,6.416116667,22.06296706,
195.7,195.6680553,45.98199299,6.127465309,0,7.722773438,18.60289349,
121.3,121.3203774,28.51028869,2.626056561,2.675532452,0,4.27555889,
189.1,189.1088555,44.44058105,3.501408748,0,6.075125189,0,
194.6,194.5706653,45.72410635,3.063732655,0,2.619047619,0,
210.3,210.3496284,49.43216267,4.814437029,0,0,4.106372281,
56,56.03995193,11.48819015,0,1.893441176,0,5.570143179,
177,177.0095249,41.59723835,6.127465309,0,0,15.04511392,
262.7,262.6989689,61.7342577,7.44049359,0,2.167659439,1.949241318,
271.1,271.1337567,63.71643284,3.063732655,0,5.50327381,0,
161.7,161.6755302,37.9937496,1.750704374,4.242078125,2.571822917,6.285476068,
298.3,298.348246,70.1118378,3.501408748,0,10.29372615,2.352596628,
225.7,225.7256906,53.0455373,4.376760935,0,0,3.236613393,
264,263.9513923,62.02857719,5.689789216,0,0,0,
106,106.015027,24.91353134,2.626056561,7.346891447,20.0961357,13.47719155,
138.4,138.4461151,32.53483705,5.689789216,0,0,37.70805731,
154.3,154.2752226,36.25467732,4.814437029,0,10.65441667,21.71312968,
220.8,220.7604654,51.87870936,3.501408748,0,23.94177042,11.96566164,
236.1,236.0781041,55.47835445,1.313028281,2.489855769,0,1.255968845,
176.9,176.9220039,41.57667093,0.875352187,0,0.636639031,0,
156.5,156.4872923,36.77451369,2.188380468,0,0,0,
172.1,172.053983,40.43268602,9.628874057,0,0,0,
206.5,206.544933,48.53805925,5.689789216,1.910328488,0,7.210150052,
33.1,33.14580074,6.794889152,0.437676094,0,0,0,
13.7,13.74864994,2.818473239,1.750704374,0,10.08663898,3.134474708,
112.9,112.8601136,26.5221267,3.501408748,0,8.477989825,13.16297419,
78.1,78.0675855,18.34588259,1.750704374,3.875945249,0,8.491473911,
112.3,112.3202821,26.3952663,3.501408748,0,0,4.204179444,
109.5,109.5142349,25.73584521,1.313028281,0,0.049205406,7.004522396,
178.6,178.6046495,41.97209262,3.939084842,0,0.01347775,22.33347565,
149.6,149.5933959,35.15444804,1.750704374,2.129540625,0,3.151151872,
98.1,98.05369817,23.04261907,2.626056561,0,3.257733009,23.61567482,
172.2,172.1696986,40.45987917,3.501408748,0,4.421484375,29.19788297,
197,197.0462327,46.30586468,2.626056561,0,0,17.4770307,
109.5,109.4777902,25.72728069,0.875352187,1.153924581,1.315369898,0,
50,49.95068255,10.23988992,0,0,0,7.244940407,
207.5,207.5356495,48.77087764,1.313028281,0,0,1.827431277,
73,73.03576383,17.1634045,0,0,0.841836735,3.335219994,
114,114.0436705,26.80026256,2.188380468,6.680712796,3.718776711,11.99274445,
118.3,118.265467,27.79238475,3.063732655,0,2.518630469,15.09667273,
125,125.0401299,29.38443053,2.188380468,0,1.108795817,6.027086741,
124.8,124.8492374,29.33957079,2.188380468,0,10.83504642,1.586847333,
195.2,195.1602861,45.86266723,3.501408748,3.123802326,0,0,
102.4,102.4349014,24.07220183,2.188380468,0,5.025743263,10.31170099,
172.6,172.5616766,40.55199401,1.750704374,0,0,5.766498342,
50.4,50.44613311,10.34145729,6.127465309,0,0,1.372686787,
61.7,61.72751783,12.65414115,7.44049359,1.999665179,0,0.374042586,
137.2,137.1981028,32.24155415,2.188380468,0,2.157354028,0,
167.9,167.8757406,39.45079904,7.44049359,0,0,3.325671152,
74,73.98760969,17.38708828,6.127465309,0,1.19659375,0,
295.2,295.2285081,69.3786994,2.188380468,3.950150109,0,37.38979588,
245.2,245.2254529,57.62798142,2.626056561,0,4.776525926,6.870169939,
243.8,243.8176995,57.29715939,4.814437029,0,0,0,
281.2,281.2094253,66.08421495,3.063732655,0,4.235034375,4.414194756,
286.6,286.5766283,67.34550765,3.501408748,2.39374664,0,3.055224869,
301.2,301.2184043,70.78632501,2.188380468,0,5.813775,2.076318026,
350.1,350.102249,82.2740285,2.626056561,0,0,0,
419.1,419.0979602,98.48802065,0.875352187,0,7.831898148,0,
131.1,131.1261675,30.81464935,3.501408748,3.732917143,0,0,
136.9,136.8971036,32.17081934,2.626056561,0,0,0,
157,157.0097992,36.89730282,2.626056561,0,0,0,
256.8,256.7995016,60.34788288,3.063732655,0,0,0,
207.9,207.927513,48.86296556,4.814437029,2.502763799,2.9803125,0.255222418,
294.8,294.8182829,69.28229647,3.063732655,0,7.84421713,3.448941277,
212.3,212.2781863,49.88537377,2.188380468,0,0,4.227580276,
150.5,150.4753561,35.36170869,2.188380468,0,0,0.930397737,
121.9,121.9056459,28.64782679,4.376760935,5.537701245,3.28453125,0,
169,169.0089875,39.71711207,1.750704374,0,1.111267361,1.027166741,
174.1,174.1187984,40.91791762,2.188380468,0,0,0,
206,205.9759816,48.40435568,3.063732655,0,6.581168866,0,
250.4,250.4371365,58.85272707,0.875352187,2.568463365,0,5.238385063,
